Therefore,Illinois,202107241616,202107241615
However,Illinois,202107241616,202107241615
Severe Thunderstorm Watch,Illinois,202107241616,202107241615
Milford,Illinois,202107241551,202107241615
Cissna Park,Illinois,202107241551,202107241615
Claytonville,Illinois,202107241551,202107241615
Wellington,Illinois,202107241551,202107241615
Richmond,Michigan,202107241607,202107241700
Berville,Michigan,202107241607,202107241700
Armada,Michigan,202107241607,202107241700
Clarkston,Michigan,202107241556,202107241645
Milford,Michigan,202107241556,202107241645
Rochester,Michigan,202107241556,202107241645
Troy,Michigan,202107241556,202107241645
Royal Oak,Michigan,202107241556,202107241645
Pontiac,Michigan,202107241556,202107241645
Birmingham,Michigan,202107241556,202107241645
Richmond,Michigan,202107241552,202107241630
Romeo,Michigan,202107241552,202107241630
Armada,Michigan,202107241552,202107241630
Flushing,Michigan,202107241421,202107241500
Swartz Creek,Michigan,202107241421,202107241500
Grand Blanc,Michigan,202107241421,202107241500
Bridgeport,Michigan,202107241246,202107241330
Freeland,Michigan,202107241246,202107241330
Merrill,Michigan,202107241246,202107241330
Port Hope,Michigan,202107241226,202107241315
Port Austin,Michigan,202107241226,202107241315
Windley Key,Florida,202107241101,202107241115
Plantation,Florida,202107241101,202107241115
Key Largo,Florida,202107241101,202107241115
Upper Keys,Florida,202107241101,202107241115
Islamorada,Florida,202107241101,202107241115
Upper Matecumbe Key,Florida,202107241037,202107241100
Windley Key,Florida,202107241037,202107241100
Plantation,Florida,202107241037,202107241100
Key Largo,Florida,202107241037,202107241100
Upper Keys,Florida,202107241037,202107241100
Islamorada,Florida,202107241037,202107241100
Rock Harbor,Florida,202107241037,202107241100
